person_id,clicks,median_ms,p25_ms,p75_ms,iqr_ms,sd_ms,mean_ms,typical_range
8795befd-8e81-5a6a-a5e5-3c6fda7f1f13,8,141.0,126.0,150.0,24.0,15.5,138.2,deliberative
b6e5c72a-ec8a-5892-acab-9ea8633c4118,8,150.0,128.8,166.2,37.5,22.9,147.6,deliberative
6468849b-4ada-5706-828f-2792012ab553,8,117.0,116.0,121.5,5.5,12.5,122.2,normal
c165e85c-dcbe-50cc-bd99-4a2c6e4a63a0,8,133.0,104.0,157.5,53.5,33.8,127.1,deliberative
c84fe9cf-5949-5b6d-9dcf-91eef10e5c44,8,159.5,146.8,171.8,25.0,18.6,159.0,deliberative
2cffc301-ca52-522d-bea8-d9041411b4ad,8,158.5,126.8,174.5,47.8,57.5,142.2,deliberative
42868035-80cc-5d23-84d6-515834cf8872,8,104.5,94.8,118.8,24.0,22.4,108.5,normal
a6607cbe-a439-59ec-acf1-4622404afb6e,8,107.0,104.0,121.2,17.2,14.0,114.4,normal
2ad319a0-35d4-5523-8c17-245ed0bb2ccc,8,121.0,104.0,130.0,26.0,28.0,113.1,deliberative
c0f2ef9a-f111-556a-8d85-784342173dfa,8,61.5,55.5,73.2,17.8,19.3,67.4,ballistic
830ae9fc-31a7-587a-b506-4936342af9be,7,115.0,100.5,122.0,21.5,23.8,113.0,normal
2bae60d8-762c-5b49-bbc1-b4f6ea1be4bb,7,61.0,59.0,74.5,15.5,21.6,59.9,ballistic
7cd06871-b4c1-5d03-bb99-39c3e307e3d4,7,117.0,91.0,141.5,50.5,209.2,193.7,normal
2edf5f1c-965d-5c0b-9ddf-2189dd14b0ac,7,116.0,116.0,150.0,34.0,22.6,130.6,normal
83603710-d4c6-593a-b6e5-403785414e69,7,141.0,124.5,142.0,17.5,30.8,125.9,deliberative
deb12278-4c24-5734-a748-7878d6a8fef1,7,110.0,101.5,130.5,29.0,22.4,116.1,normal
08862042-b842-5074-b6cb-4235cb9d851e,6,130.5,120.5,145.8,25.2,21.8,127.5,deliberative
819e7eb1-c65a-5b36-8647-77cd968d1399,6,149.0,124.2,1043.0,918.8,570.4,535.5,deliberative
2a42bca8-15ac-5f08-9609-d0c6249e8df4,6,46.5,46.0,269.8,223.8,141.0,145.7,ballistic
c305b151-6ee2-5797-a358-fe98a02711bb,6,125.0,118.2,131.0,12.8,11.0,124.8,deliberative
d2b3fffc-5fe6-5961-9f07-a8cd77693198,6,135.0,133.5,146.2,12.8,8.1,139.7,deliberative
3a3d18ce-3cf3-5a95-83ec-5b75585d1875,6,109.0,102.0,133.2,31.2,18.2,116.5,normal
12ea2bd2-ed71-519e-b19d-7e224d788800,6,116.0,112.5,137.5,25.0,30.4,129.8,normal
cf6aaade-0be0-517b-9a30-69950887a9b3,6,134.5,122.0,139.5,17.5,10.3,131.3,deliberative
90a46c9f-3dbb-5399-b28b-80ce2ca15258,6,107.5,98.0,119.2,21.2,13.7,107.3,normal
2acdeda7-b7c3-5ab2-acc8-d2c07990be54,6,151.5,133.8,164.0,30.2,16.8,149.2,deliberative
5af0b4bf-5585-5bb9-b927-94964add311c,6,108.5,102.0,171.2,69.2,41.6,133.3,normal
85a312ef-0cb3-5e0b-a54c-a497580097cb,6,134.0,133.2,137.0,3.8,2.4,135.2,deliberative
5817cb70-153d-5918-92cc-6e95e7821406,6,91.5,84.2,105.5,21.2,12.1,94.8,normal
ab513a2c-c171-5939-b792-a5f8185fbfa6,6,150.0,103.5,153.0,49.5,42.4,128.7,deliberative
3126ec1c-4f29-5cce-ab44-50dd5cd26edc,6,153.5,129.8,160.8,31.0,17.9,146.2,deliberative
e652336e-f5ac-5522-8b89-65edf88dacab,6,150.0,122.8,162.2,39.5,22.4,143.2,deliberative
6f2433fa-5032-5d66-98f8-0822c74cfa5b,6,100.5,67.8,112.2,44.5,25.6,91.0,normal
7260a07b-9f3c-5d49-b763-7107ad477299,6,161.0,151.2,165.5,14.2,25.3,153.7,extended
c52a490e-55e0-5424-a9ea-4271edbada1e,6,125.5,94.2,131.2,37.0,22.1,114.3,deliberative
d701bc35-ea0a-527a-894d-8516cc36f1af,6,143.5,136.2,148.5,12.2,7.0,142.2,deliberative
aba0e7cb-58f1-5dcf-a831-6a617fe19392,6,84.0,74.0,108.2,34.2,19.3,90.3,normal
45ce763e-63cd-5bb5-8fbf-12e5e508fb01,6,96.5,82.5,121.8,39.2,22.5,101.0,normal
c06277ba-7fe3-5e1e-aec6-e5719d2e6380,6,87.0,82.0,92.0,10.0,13.0,83.5,normal
abb81848-916c-5546-9b8a-199fc524af83,6,92.5,79.2,110.2,31.0,17.4,94.7,normal
214598fc-d305-5c72-8509-95e81b24cae5,6,116.5,102.5,118.5,16.0,55.7,132.7,normal
891e54c7-b373-5363-b509-11f72cef1fa7,6,127.5,120.2,137.8,17.5,20.5,123.3,deliberative
